time,open,high,low,close
2025-09-18 02:00:00,1.36295,1.36355,1.36276,1.36294
2025-09-18 03:00:00,1.36294,1.36299,1.3620700000000001,1.3627
2025-09-18 04:00:00,1.3627099999999999,1.36307,1.36102,1.36175
2025-09-18 05:00:00,1.36175,1.36283,1.36175,1.36276
2025-09-18 06:00:00,1.36276,1.36306,1.36202,1.36208
2025-09-18 07:00:00,1.36208,1.36218,1.3605,1.36067
2025-09-18 08:00:00,1.36067,1.36099,1.35918,1.35968
2025-09-18 09:00:00,1.3597000000000001,1.36049,1.35862,1.35951
2025-09-18 10:00:00,1.3595,1.36404,1.3595,1.3633
2025-09-18 11:00:00,1.3633,1.36484,1.36269,1.36395
2025-09-18 12:00:00,1.36395,1.36555,1.36369,1.36456
2025-09-18 13:00:00,1.36455,1.36541,1.36417,1.36466
2025-09-18 14:00:00,1.36466,1.36606,1.3613,1.3621699999999999
2025-09-18 15:00:00,1.36218,1.36232,1.35945,1.35945
2025-09-18 16:00:00,1.35945,1.35957,1.35341,1.35513
2025-09-18 17:00:00,1.35515,1.35714,1.35456,1.35521
2025-09-18 18:00:00,1.35521,1.35621,1.35359,1.35481
2025-09-18 19:00:00,1.35481,1.35579,1.35419,1.35527
2025-09-18 20:00:00,1.35527,1.35632,1.35507,1.35554
2025-09-18 21:00:00,1.35552,1.35567,1.35445,1.35531
2025-09-18 22:00:00,1.35531,1.35574,1.35477,1.35487
2025-09-18 23:00:00,1.35486,1.35524,1.3545099999999999,1.35524
2025-09-19 00:00:00,1.35526,1.35549,1.35431,1.35532
2025-09-19 01:00:00,1.35535,1.35553,1.35516,1.3552
2025-09-19 02:00:00,1.3552,1.35568,1.35517,1.3555
2025-09-19 03:00:00,1.35552,1.35559,1.35404,1.3549
2025-09-19 04:00:00,1.35489,1.35504,1.3536299999999999,1.3538700000000001
2025-09-19 05:00:00,1.3538700000000001,1.35425,1.35309,1.35413
2025-09-19 06:00:00,1.35412,1.35588,1.35412,1.3550499999999999
2025-09-19 07:00:00,1.35508,1.35595,1.35419,1.3544399999999999
2025-09-19 08:00:00,1.35445,1.35514,1.35409,1.35443
2025-09-19 09:00:00,1.35443,1.35454,1.34972,1.35077
2025-09-19 10:00:00,1.35079,1.35145,1.3485,1.34912
2025-09-19 11:00:00,1.34913,1.35018,1.34825,1.34995
2025-09-19 12:00:00,1.34995,1.3510499999999999,1.34952,1.3504800000000001
2025-09-19 13:00:00,1.35047,1.35087,1.34947,1.34968
2025-09-19 14:00:00,1.34968,1.34989,1.34729,1.34776
2025-09-19 15:00:00,1.34776,1.34832,1.34631,1.3468499999999999
2025-09-19 16:00:00,1.3468499999999999,1.34948,1.34683,1.34898
2025-09-19 17:00:00,1.3489499999999999,1.34982,1.34809,1.34823
2025-09-19 18:00:00,1.34823,1.34854,1.34721,1.34824
2025-09-19 19:00:00,1.34826,1.34854,1.34706,1.34827
2025-09-19 20:00:00,1.34825,1.34853,1.34735,1.34762
2025-09-19 21:00:00,1.34762,1.34766,1.34667,1.34689
